"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","5,115.000","5,005.000","5,375.570","4,990.909","","2.35%"
"09/20/2023","4,997.500","5,230.970","5,266.200","4,983.409","","0.00%"
"09/19/2023","4,997.500","4,780.875","5,246.820","4,780.875","","1.47%"
"09/18/2023","4,925.000","4,835.435","5,170.915","4,769.314","","2.07%"
"09/15/2023","4,825.000","4,714.534","5,047.020","4,649.403","","2.22%"
"09/14/2023","4,720.000","4,695.000","4,950.260","4,608.028","","-4.60%"
"09/13/2023","4,947.775","4,780.875","4,947.775","4,630.522","","5.38%"
"09/12/2023","4,695.000","4,780.875","4,930.225","4,582.470","","0.64%"
"09/11/2023","4,665.000","4,859.910","4,897.485","4,627.902","","0.00%"
"09/08/2023","4,665.000","4,653.505","4,881.695","4,628.667","","0.00%"
"09/07/2023","4,665.000","4,650.000","4,881.485","4,627.683","","-2.71%"
"09/06/2023","4,794.880","4,622.500","4,894.985","4,580.415","","-2.35%"
"09/05/2023","4,910.315","4,817.780","4,910.355","4,582.916","","6.38%"
"09/04/2023","4,615.805","4,822.190","4,840.835","4,527.992","","0.01%"
"09/01/2023","4,615.345","4,815.475","4,840.430","4,528.855","","0.04%"
"08/31/2023","4,613.590","4,814.590","4,892.915","4,580.941","","-0.04%"
"08/30/2023","4,615.595","4,795.840","4,998.835","4,498.235","","0.76%"
"08/29/2023","4,580.990","4,575.775","4,804.325","4,564.874","","0.11%"
"08/28/2023","4,575.775","4,572.230","4,799.399","4,559.692","","0.20%"
"08/25/2023","4,566.795","4,573.820","4,773.650","4,532.895","","-0.72%"
"08/24/2023","4,600.000","4,575.000","4,800.200","4,548.400","","-0.27%"
"08/22/2023","4,612.500","4,576.740","4,799.770","4,548.376","","0.82%"
"08/21/2023","4,575.000","4,811.110","4,877.360","4,418.885","","-0.54%"
"08/18/2023","4,600.000","4,805.925","4,877.360","4,413.518","","0.00%"
"08/17/2023","4,600.000","4,557.113","4,829.265","4,432.252","","0.82%"
"08/16/2023","4,562.540","4,783.540","4,807.750","4,511.800","","-0.33%"
